scrape_date,scrape_ts_utc,line,brand,tier,ship,ship_code,itinerary_code,itinerary_name,sailing_id,sail_date,return_date,nights,region,embark_port,market,currency,cabin_category,cabin_subcategory,vendor_category_code,rate_code,price_per_person,price_total,price_pppn,price_basis,taxes_fees,availability_status,availability_status_raw,units_remaining,promo_hash,source_url
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21658,2027-01-18,2027-01-23,5,Caribbean,"Tampa, FL",US,USD,balcony,OB,8A,OB7,848.0,1696.0,169.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21658,2027-01-18,2027-01-23,5,Caribbean,"Tampa, FL",US,USD,inside,IS,1A,OB7,288.0,576.0,57.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21658,2027-01-18,2027-01-23,5,Caribbean,"Tampa, FL",US,USD,oceanview,OS,6A,OB7,418.0,836.0,83.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21658,2027-01-18,2027-01-23,5,Caribbean,"Tampa, FL",US,USD,suite,SU,OB,OB7,908.0,1816.0,181.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21671,2027-03-20,2027-03-25,5,Caribbean,"Tampa, FL",US,USD,balcony,OB,BL,PSV,1078.0,2156.0,215.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21671,2027-03-20,2027-03-25,5,Caribbean,"Tampa, FL",US,USD,inside,IS,1A,OB7,528.0,1056.0,105.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21671,2027-03-20,2027-03-25,5,Caribbean,"Tampa, FL",US,USD,oceanview,OS,OV,PSV,638.0,1276.0,127.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAD,"5-Day The Bahamas from Tampa, FL",21671,2027-03-20,2027-03-25,5,Caribbean,"Tampa, FL",US,USD,suite,SU,OB,OB7,1168.0,2336.0,233.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21659,2027-01-23,2027-01-28,5,Caribbean,"Tampa, FL",US,USD,balcony,OB,BL,PSV,818.0,1636.0,163.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21659,2027-01-23,2027-01-28,5,Caribbean,"Tampa, FL",US,USD,inside,IS,1A,OB7,288.0,576.0,57.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21659,2027-01-23,2027-01-28,5,Caribbean,"Tampa, FL",US,USD,oceanview,OS,OV,PSV,388.0,776.0,77.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21659,2027-01-23,2027-01-28,5,Caribbean,"Tampa, FL",US,USD,suite,SU,OB,OB7,888.0,1776.0,177.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21676,2027-04-12,2027-04-17,5,Caribbean,"Tampa, FL",US,USD,balcony,OB,BL,PSV,928.0,1856.0,185.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21676,2027-04-12,2027-04-17,5,Caribbean,"Tampa, FL",US,USD,inside,IS,1A,OB7,418.0,836.0,83.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21676,2027-04-12,2027-04-17,5,Caribbean,"Tampa, FL",US,USD,oceanview,OS,OV,PSV,518.0,1036.0,103.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAE,"5-Day The Bahamas from Tampa, FL",21676,2027-04-12,2027-04-17,5,Caribbean,"Tampa, FL",US,USD,suite,SU,OB,OB7,978.0,1956.0,195.6,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:02:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAO,"6-Day The Bahamas from Tampa, FL",24328,2027-08-30,2027-09-05,6,Caribbean,"Tampa, FL",US,USD,balcony,OB,8A,OB7,1071.0,2142.0,178.5,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=3&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:02:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAO,"6-Day The Bahamas from Tampa, FL",24328,2027-08-30,2027-09-05,6,Caribbean,"Tampa, FL",US,USD,inside,IS,1A,OB7,411.0,822.0,68.5,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=3&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:02:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Paradise,PA,BAO,"6-Day The Bahamas from Tampa, FL",24328,2027-08-30,2027-09-05,6,Caribbean,"Tampa, FL",US,USD,oceanview,OS,6A,OB7,541.0,1082.0,90.1667,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=3&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
